judul,asal,person,sentence
Legenda Danau Toba,Sumatera Utara,ni,"Di sebuah desa di wilayah Sumatera, hidup seorang petani"
Legenda Danau Toba,Sumatera Utara,ni,Ia seorang petani yang rajin bekerja walaupun lahan pertaniannya tidak luas
Legenda Danau Toba,Sumatera Utara,ni,"Sebenarnya usianya sudah cukup untuk menikah, tetapi ia tetap memilih hidup sendirian"
Legenda Danau Toba,Sumatera Utara,ni,"Di suatu pagi hari yang cerah, petani itu memancing ikan disungai"
Legenda Danau Toba,Sumatera Utara,ni,"“Mudah-mudahan hari ini aku mendapat ikan yang besar,” gumam petani tersebut dalam hati"
Legenda Danau Toba,Sumatera Utara,Petani,Petani itu bersorak kegirangan setelah mendapat seekor ikan cukup besar
Legenda Danau Toba,Sumatera Utara,ni,Sisik ikan itu berwarna kuning emas kemerah-merahan
Legenda Danau Toba,Sumatera Utara,ni,"“Tunggu, aku jangan dimakan! Aku akan bersediamenemanimu jika kau tidak jadi memakanku"
Legenda Danau Toba,Sumatera Utara,Petani,” Petani tersebut terkejut mendengar suara dari ikan itu
Legenda Danau Toba,Sumatera Utara,ni,"“Bermimpikah aku?,” gumam petani"
Legenda Danau Toba,Sumatera Utara,Puteri,"“Namaku Puteri, aku tidak keberatan untuk menjadi istrimu,” kata gadis itu seolah mendesak"
Legenda Danau Toba,Sumatera Utara,Petani,Petani itu pun mengangguk
Legenda Danau Toba,Sumatera Utara,Puteri,"Namun, ada satu janji yang telah disepakati, yaitu mereka tidak boleh menceritakan bahwa asal-usul Puteri dari seekor ikan"
Legenda Danau Toba,Sumatera Utara,ni,"Setelah sampai di desanya, gemparlah penduduk desa melihat gadis cantik jelita bersama petani tersebut"
Legenda Danau Toba,Sumatera Utara,Petani,Petani merasa sangat bahagia dan tenteram
Legenda Danau Toba,Sumatera Utara,ni,"Karena ketekunan dan keuletannya, petani itu hidup tanpa kekurangan dalam hidupnya"
Legenda Danau Toba,Sumatera Utara,ni,"Banyak orang iri, dan mereka menyebarkan sangkaan buruk yang dapat menjatuhkan keberhasilan usaha petani"
Legenda Danau Toba,Sumatera Utara,Petani,“Aku tahu Petani itu pasti memelihara makhluk halus! ” kata seseorang kepada temannya
Legenda Danau Toba,Sumatera Utara,Petani,Hal itu sampai ke telinga Petani dan Puteri
Legenda Danau Toba,Sumatera Utara,Petani,"Setahun kemudian, kebahagiaan Petani dan istri bertambah, karena istri Petani melahirkan seorang bayi laki-laki"
Legenda Danau Toba,Sumatera Utara,Putera,Ia diberi nama Putera
Legenda Danau Toba,Sumatera Utara,Putera,Putera tumbuh menjadi seorang anak yang sehat dan kuat
Legenda Danau Toba,Sumatera Utara,ni,Ia menjadi anak manis tetapi agak nakal
Legenda Danau Toba,Sumatera Utara,Putera,"Lama kelamaan, Putera selalu membuat jengkel ayahnya"
Legenda Danau Toba,Sumatera Utara,Petani,Istri Petani selalu mengingatkan Petani agar bersabar atas ulah anak mereka
Legenda Danau Toba,Sumatera Utara,Petani,"“Ya, aku akan bersabar, walau bagaimanapun dia itu anak kita!” kata Petani kepada istrinya"
Legenda Danau Toba,Sumatera Utara,Puteri,"Kanda memang seorang suami dan ayah yang baik,” puji Puteri kepada suaminya"
Legenda Danau Toba,Sumatera Utara,Petani,Hal ini dialami oleh Petani itu
Legenda Danau Toba,Sumatera Utara,Putera,"Pada suatu hari, Putera mendapat tugas mengantarkan makanan dan minuman ke sawah di mana ayahnya sedang bekerja"
Legenda Danau Toba,Sumatera Utara,Putera,Tetapi Putera tidak memenuhi tugasnya
Legenda Danau Toba,Sumatera Utara,Petani,"Petani menunggu kedatangan anaknya, sambil menahan haus dan lapar"
Legenda Danau Toba,Sumatera Utara,Putera,Di lihatnya Putera sedang bermain bola
Legenda Danau Toba,Sumatera Utara,Petani,Petani menjadi marah sambil menjewer kuping anaknya
Legenda Danau Toba,Sumatera Utara,Petani,"“Anak tidak tau diuntung ! Tak tahu diri ! Dasar anak ikan !,” umpat si Petani tanpa sadar telah mengucapkan kata pantangan itu"
Legenda Danau Toba,Sumatera Utara,ni,"Setelah petani mengucapkan kata-katanya, seketika itu juga anak dan istrinya hilang lenyap"
Legenda Danau Toba,Sumatera Utara,Petani,Desa Petani dan desa sekitarnya terendam semua
Legenda Danau Toba,Sumatera Utara,Pu,Sedangkan pulau kecil di tengahnya dikenal dengan nama Pulau Samosir
Puteri Hijau,Sumatera Utara,Ma,"Sekitar abad 14 dan 15 masehi , berdiri kerajaan di daerah Medan Deli dengan istana yang diberi nama istana Maimun"
Puteri Hijau,Sumatera Utara,Sultan Muhayat Syah,Sultan Muhayat Syah adalah raja dari kerajaan melayu itu
Puteri Hijau,Sumatera Utara,Mambang Khayali,"Beliau memiliki 3 orang anak , anak pertama bernama Mambang Jazid, anak kedua bernama Mambang Khayali dan anak ketiganya bernama Putri Hijau"
Puteri Hijau,Sumatera Utara,Mambang Khayali,"Ketiga anak ini memiliki kekuatan yang hebat , Mambang Jazid mampu merubah dirinya menjadi Naga , Mambang Khayali mampu merubah dirinya menjadi meriam dan Putri Hijau mampu mengeluarkan cahaya hijau nan indah saat malam bulan purnama"
Puteri Hijau,Sumatera Utara,ri Hijau,Namun ada kelebihan lain yang di miliki Putri Hijau yaitu wajahnya yang amat cantik jelita serta sifatnya yang ramah dan bersahaja terhadap rakyat sehingga banyak rakyat yang menyukainya sebagai pemimpin yang bijaksana
Puteri Hijau,Sumatera Utara,ri Hijau,"Saat itu malam bulan purnama , seperti biasa Putri Hijau berjalan-jalan di sekitar taman istana, dari tubuhnya memancarkan cahaya hijau yang indah, bahkan cahayaitu sampai terlihat oleh sultan kerajaan Aceh yang bersebelahan dengan kerajaan Deli saat itu"
Puteri Hijau,Sumatera Utara,ri Raja Deli,"Tak perlu aktu lama , para pengawal itu mendapat informasi bahwa cahaya hijau itu terpancar dari tubuh seorang Putri Raja Deli yang cantik jelita"
Puteri Hijau,Sumatera Utara,ri Hijau,"Mendengar informasi dari sang pengawal, membuat Sultan Aceh berkeinginan untuk mempersunting Putri Hijau"
Puteri Hijau,Sumatera Utara,putri hijau,Beragam perhiasan dan beberapa pengawal diutusnya untuk meminang putri hijau
Puteri Hijau,Sumatera Utara,ri Hijau,Namun pinangan dari sultan Aceh di tolak mentah-mentah oleh Putri Hijau
Puteri Hijau,Sumatera Utara,Mambang Khayali,"Hasilnya kerajaan Deli kalah, namun Mambang Khayali tak terima dengan kekalahan itu lalu merubah dirinya menjadi meriam dan menembakkan peluru dengan gencar ke arah musuh"
Puteri Hijau,Sumatera Utara,Mambang Khayali,"Karena terlalu lama menembak kan peluru, meriam jelmaan Mambang Khayali menjadi sangat panas dan akhirnya putus terbelah dua"
